"","folder","n_mb_species","f_mb_species"
"1","data/0.2-0-0-0/1",0,0
"2","data/0.2-0-0-0/10",0,0
"3","data/0.2-0-0-0/11",0,0
"4","data/0.2-0-0-0/12",0,0
"5","data/0.2-0-0-0/13",0,0
"6","data/0.2-0-0-0/14",0,0
"7","data/0.2-0-0-0/15",0,0
"8","data/0.2-0-0-0/16",0,0
"9","data/0.2-0-0-0/17",0,0
"10","data/0.2-0-0-0/18",0,0
"11","data/0.2-0-0-0/19",0,0
"12","data/0.2-0-0-0/2",0,0
"13","data/0.2-0-0-0/20",0,0
"14","data/0.2-0-0-0/21",0,0
"15","data/0.2-0-0-0/22",0,0
"16","data/0.2-0-0-0/23",0,0
"17","data/0.2-0-0-0/24",0,0
"18","data/0.2-0-0-0/25",0,0
"19","data/0.2-0-0-0/26",0,0
"20","data/0.2-0-0-0/27",0,0
"21","data/0.2-0-0-0/28",0,0
"22","data/0.2-0-0-0/29",0,0
"23","data/0.2-0-0-0/3",0,0
"24","data/0.2-0-0-0/30",0,0
"25","data/0.2-0-0-0/31",0,0
"26","data/0.2-0-0-0/32",0,0
"27","data/0.2-0-0-0/33",0,0
"28","data/0.2-0-0-0/34",0,0
"29","data/0.2-0-0-0/35",0,0
"30","data/0.2-0-0-0/36",0,0
"31","data/0.2-0-0-0/37",0,0
"32","data/0.2-0-0-0/38",0,0
"33","data/0.2-0-0-0/39",0,0
"34","data/0.2-0-0-0/4",0,0
"35","data/0.2-0-0-0/40",0,0
"36","data/0.2-0-0-0/5",0,0
"37","data/0.2-0-0-0/6",0,0
"38","data/0.2-0-0-0/7",0,0
"39","data/0.2-0-0-0/8",0,0
"40","data/0.2-0-0-0/9",0,0
"41","data/0.2-0-0.5-0.1/100",0,0
"42","data/0.2-0-0.5-0.1/101",0,0
"43","data/0.2-0-0.5-0.1/102",0,0
"44","data/0.2-0-0.5-0.1/103",0,0
"45","data/0.2-0-0.5-0.1/104",5,0.208333333333333
"46","data/0.2-0-0.5-0.1/105",0,0
"47","data/0.2-0-0.5-0.1/106",2,0.133333333333333
"48","data/0.2-0-0.5-0.1/107",0,0
"49","data/0.2-0-0.5-0.1/108",0,0
"50","data/0.2-0-0.5-0.1/109",2,0.222222222222222
"51","data/0.2-0-0.5-0.1/110",0,0
"52","data/0.2-0-0.5-0.1/111",0,0
"53","data/0.2-0-0.5-0.1/112",2,0.111111111111111
"54","data/0.2-0-0.5-0.1/113",6,0.1875
"55","data/0.2-0-0.5-0.1/114",2,0.125
"56","data/0.2-0-0.5-0.1/115",2,0.153846153846154
"57","data/0.2-0-0.5-0.1/116",0,0
"58","data/0.2-0-0.5-0.1/117",0,0
"59","data/0.2-0-0.5-0.1/118",0,0
"60","data/0.2-0-0.5-0.1/119",0,0
"61","data/0.2-0-0.5-0.1/120",2,0.133333333333333
"62","data/0.2-0-0.5-0.1/81",0,0
"63","data/0.2-0-0.5-0.1/82",0,0
"64","data/0.2-0-0.5-0.1/83",0,0
"65","data/0.2-0-0.5-0.1/84",0,0
"66","data/0.2-0-0.5-0.1/85",0,0
"67","data/0.2-0-0.5-0.1/86",0,0
"68","data/0.2-0-0.5-0.1/87",0,0
"69","data/0.2-0-0.5-0.1/88",2,0.153846153846154
"70","data/0.2-0-0.5-0.1/89",0,0
"71","data/0.2-0-0.5-0.1/90",2,0.125
"72","data/0.2-0-0.5-0.1/91",0,0
"73","data/0.2-0-0.5-0.1/92",2,0.153846153846154
"74","data/0.2-0-0.5-0.1/93",0,0
"75","data/0.2-0-0.5-0.1/94",6,0.166666666666667
"76","data/0.2-0-0.5-0.1/95",0,0
"77","data/0.2-0-0.5-0.1/96",11,0.305555555555556
"78","data/0.2-0-0.5-0.1/97",0,0
"79","data/0.2-0-0.5-0.1/98",0,0
"80","data/0.2-0-0.5-0.1/99",0,0
"81","data/0.2-0-0.5-0.15/321",3,0.176470588235294
"82","data/0.2-0-0.5-0.15/322",3,0.125
"83","data/0.2-0-0.5-0.15/323",13,0.30952380952381
"84","data/0.2-0-0.5-0.15/324",0,0
"85","data/0.2-0-0.5-0.15/325",5,0.238095238095238
"86","data/0.2-0-0.5-0.15/326",4,0.2
"87","data/0.2-0-0.5-0.15/327",0,0
"88","data/0.2-0-0.5-0.15/328",3,0.1875
"89","data/0.2-0-0.5-0.15/329",0,0
"90","data/0.2-0-0.5-0.15/330",0,0
"91","data/0.2-0-0.5-0.15/331",0,0
"92","data/0.2-0-0.5-0.15/332",7,0.368421052631579
"93","data/0.2-0-0.5-0.15/333",10,0.333333333333333
"94","data/0.2-0-0.5-0.15/334",3,0.2
"95","data/0.2-0-0.5-0.15/335",0,0
"96","data/0.2-0-0.5-0.15/336",13,0.361111111111111
"97","data/0.2-0-0.5-0.15/337",7,0.225806451612903
"98","data/0.2-0-0.5-0.15/338",0,0
"99","data/0.2-0-0.5-0.15/339",5,0.2
"100","data/0.2-0-0.5-0.15/340",0,0
"101","data/0.2-0-0.5-0.15/341",0,0
"102","data/0.2-0-0.5-0.15/342",2,0.111111111111111
"103","data/0.2-0-0.5-0.15/343",0,0
"104","data/0.2-0-0.5-0.15/344",4,0.285714285714286
"105","data/0.2-0-0.5-0.15/345",4,0.307692307692308
"106","data/0.2-0-0.5-0.15/346",8,0.285714285714286
"107","data/0.2-0-0.5-0.15/347",2,0.111111111111111
"108","data/0.2-0-0.5-0.15/348",2,0.0869565217391304
"109","data/0.2-0-0.5-0.15/349",0,0
"110","data/0.2-0-0.5-0.15/350",0,0
"111","data/0.2-0-0.5-0.15/351",2,0.105263157894737
"112","data/0.2-0-0.5-0.15/352",0,0
"113","data/0.2-0-0.5-0.15/353",8,0.266666666666667
"114","data/0.2-0-0.5-0.15/354",2,0.117647058823529
"115","data/0.2-0-0.5-0.15/355",2,0.133333333333333
"116","data/0.2-0-0.5-0.15/356",9,0.140625
"117","data/0.2-0-0.5-0.15/357",2,0.125
"118","data/0.2-0-0.5-0.15/358",0,0
"119","data/0.2-0-0.5-0.15/359",7,0.368421052631579
"120","data/0.2-0-0.5-0.15/360",2,0.181818181818182
"121","data/0.2-0-0.5-0.2/561",0,0
"122","data/0.2-0-0.5-0.2/562",0,0
"123","data/0.2-0-0.5-0.2/563",3,0.111111111111111
"124","data/0.2-0-0.5-0.2/564",10,0.416666666666667
"125","data/0.2-0-0.5-0.2/565",10,0.476190476190476
"126","data/0.2-0-0.5-0.2/566",0,0
