"","folder","n_taxa"
"1","data/0.2-0-0-0/1",9
"2","data/0.2-0-0-0/10",17
"3","data/0.2-0-0-0/11",3
"4","data/0.2-0-0-0/12",4
"5","data/0.2-0-0-0/13",5
"6","data/0.2-0-0-0/14",15
"7","data/0.2-0-0-0/15",35
"8","data/0.2-0-0-0/16",6
"9","data/0.2-0-0-0/17",5
"10","data/0.2-0-0-0/18",5
"11","data/0.2-0-0-0/19",3
"12","data/0.2-0-0-0/2",4
"13","data/0.2-0-0-0/20",11
"14","data/0.2-0-0-0/21",5
"15","data/0.2-0-0-0/22",12
"16","data/0.2-0-0-0/23",35
"17","data/0.2-0-0-0/24",14
"18","data/0.2-0-0-0/25",7
"19","data/0.2-0-0-0/26",2
"20","data/0.2-0-0-0/27",9
"21","data/0.2-0-0-0/28",2
"22","data/0.2-0-0-0/29",3
"23","data/0.2-0-0-0/3",4
"24","data/0.2-0-0-0/30",3
"25","data/0.2-0-0-0/31",8
"26","data/0.2-0-0-0/32",23
"27","data/0.2-0-0-0/33",11
"28","data/0.2-0-0-0/34",5
"29","data/0.2-0-0-0/35",8
"30","data/0.2-0-0-0/36",15
"31","data/0.2-0-0-0/37",11
"32","data/0.2-0-0-0/38",8
"33","data/0.2-0-0-0/39",12
"34","data/0.2-0-0-0/4",21
"35","data/0.2-0-0-0/40",8
"36","data/0.2-0-0-0/5",5
"37","data/0.2-0-0-0/6",28
"38","data/0.2-0-0-0/7",17
"39","data/0.2-0-0-0/8",8
"40","data/0.2-0-0-0/9",4
"41","data/0.2-0-0.5-0.1/100",6
"42","data/0.2-0-0.5-0.1/101",12
"43","data/0.2-0-0.5-0.1/102",10
"44","data/0.2-0-0.5-0.1/103",2
"45","data/0.2-0-0.5-0.1/104",24
"46","data/0.2-0-0.5-0.1/105",21
"47","data/0.2-0-0.5-0.1/106",15
"48","data/0.2-0-0.5-0.1/107",10
"49","data/0.2-0-0.5-0.1/108",20
"50","data/0.2-0-0.5-0.1/109",9
"51","data/0.2-0-0.5-0.1/110",31
"52","data/0.2-0-0.5-0.1/111",20
"53","data/0.2-0-0.5-0.1/112",18
"54","data/0.2-0-0.5-0.1/113",32
"55","data/0.2-0-0.5-0.1/114",16
"56","data/0.2-0-0.5-0.1/115",13
"57","data/0.2-0-0.5-0.1/116",4
"58","data/0.2-0-0.5-0.1/117",9
"59","data/0.2-0-0.5-0.1/118",6
"60","data/0.2-0-0.5-0.1/119",5
"61","data/0.2-0-0.5-0.1/120",15
"62","data/0.2-0-0.5-0.1/81",4
"63","data/0.2-0-0.5-0.1/82",2
"64","data/0.2-0-0.5-0.1/83",7
"65","data/0.2-0-0.5-0.1/84",14
"66","data/0.2-0-0.5-0.1/85",9
"67","data/0.2-0-0.5-0.1/86",15
"68","data/0.2-0-0.5-0.1/87",2
"69","data/0.2-0-0.5-0.1/88",13
"70","data/0.2-0-0.5-0.1/89",6
"71","data/0.2-0-0.5-0.1/90",16
"72","data/0.2-0-0.5-0.1/91",10
"73","data/0.2-0-0.5-0.1/92",13
"74","data/0.2-0-0.5-0.1/93",6
"75","data/0.2-0-0.5-0.1/94",36
"76","data/0.2-0-0.5-0.1/95",13
"77","data/0.2-0-0.5-0.1/96",36
"78","data/0.2-0-0.5-0.1/97",10
"79","data/0.2-0-0.5-0.1/98",5
"80","data/0.2-0-0.5-0.1/99",5
"81","data/0.2-0-0.5-0.15/321",17
"82","data/0.2-0-0.5-0.15/322",24
"83","data/0.2-0-0.5-0.15/323",42
"84","data/0.2-0-0.5-0.15/324",10
"85","data/0.2-0-0.5-0.15/325",21
"86","data/0.2-0-0.5-0.15/326",20
"87","data/0.2-0-0.5-0.15/327",11
"88","data/0.2-0-0.5-0.15/328",16
"89","data/0.2-0-0.5-0.15/329",8
"90","data/0.2-0-0.5-0.15/330",19
"91","data/0.2-0-0.5-0.15/331",5
"92","data/0.2-0-0.5-0.15/332",19
"93","data/0.2-0-0.5-0.15/333",30
"94","data/0.2-0-0.5-0.15/334",15
"95","data/0.2-0-0.5-0.15/335",5
"96","data/0.2-0-0.5-0.15/336",36
"97","data/0.2-0-0.5-0.15/337",31
"98","data/0.2-0-0.5-0.15/338",6
"99","data/0.2-0-0.5-0.15/339",25
"100","data/0.2-0-0.5-0.15/340",9
"101","data/0.2-0-0.5-0.15/341",4
"102","data/0.2-0-0.5-0.15/342",18
"103","data/0.2-0-0.5-0.15/343",12
"104","data/0.2-0-0.5-0.15/344",14
"105","data/0.2-0-0.5-0.15/345",13
"106","data/0.2-0-0.5-0.15/346",28
"107","data/0.2-0-0.5-0.15/347",18
"108","data/0.2-0-0.5-0.15/348",23
"109","data/0.2-0-0.5-0.15/349",15
"110","data/0.2-0-0.5-0.15/350",8
"111","data/0.2-0-0.5-0.15/351",19
"112","data/0.2-0-0.5-0.15/352",17
"113","data/0.2-0-0.5-0.15/353",30
"114","data/0.2-0-0.5-0.15/354",17
"115","data/0.2-0-0.5-0.15/355",15
"116","data/0.2-0-0.5-0.15/356",64
"117","data/0.2-0-0.5-0.15/357",16
"118","data/0.2-0-0.5-0.15/358",18
"119","data/0.2-0-0.5-0.15/359",19
"120","data/0.2-0-0.5-0.15/360",11
"121","data/0.2-0-0.5-0.2/561",11
"122","data/0.2-0-0.5-0.2/562",7
"123","data/0.2-0-0.5-0.2/563",27
"124","data/0.2-0-0.5-0.2/564",24
"125","data/0.2-0-0.5-0.2/565",21
"126","data/0.2-0-0.5-0.2/566",22
"127","data/0.2-0-0.5-0.2/567",86
"128","data/0.2-0-0.5-0.2/568",31
"129","data/0.2-0-0.5-0.2/569",3
"130","data/0.2-0-0.5-0.2/570",32
"131","data/0.2-0-0.5-0.2/571",33
"132","data/0.2-0-0.5-0.2/572",44
"133","data/0.2-0-0.5-0.2/573",6
"134","data/0.2-0-0.5-0.2/574",40
"135","data/0.2-0-0.5-0.2/575",19
"136","data/0.2-0-0.5-0.2/576",44
"137","data/0.2-0-0.5-0.2/577",13
"138","data/0.2-0-0.5-0.2/578",41
"139","data/0.2-0-0.5-0.2/579",9
"140","data/0.2-0-0.5-0.2/580",14
"141","data/0.2-0-0.5-0.2/581",7
"142","data/0.2-0-0.5-0.2/582",40
"143","data/0.2-0-0.5-0.2/583",39
"144","data/0.2-0-0.5-0.2/584",21
"145","data/0.2-0-0.5-0.2/585",46
"146","data/0.2-0-0.5-0.2/586",21
"147","data/0.2-0-0.5-0.2/587",7
"148","data/0.2-0-0.5-0.2/588",39
"149","data/0.2-0-0.5-0.2/589",23
"150","data/0.2-0-0.5-0.2/590",13
"151","data/0.2-0-0.5-0.2/591",44
"152","data/0.2-0-0.5-0.2/592",16
"153","data/0.2-0-0.5-0.2/593",13
"154","data/0.2-0-0.5-0.2/594",14
"155","data/0.2-0-0.5-0.2/595",22
"156","data/0.2-0-0.5-0.2/596",15
"157","data/0.2-0-0.5-0.2/597",10
"158","data/0.2-0-0.5-0.2/598",22
"159","data/0.2-0-0.5-0.2/599",9
"160","data/0.2-0-0.5-0.2/600",13
"161","data/0.2-0-1-0.1/161",11
"162","data/0.2-0-1-0.1/162",2
"163","data/0.2-0-1-0.1/163",38
"164","data/0.2-0-1-0.1/164",14
"165","data/0.2-0-1-0.1/165",19
"166","data/0.2-0-1-0.1/166",27
"167","data/0.2-0-1-0.1/167",13
"168","data/0.2-0-1-0.1/168",43
"169","data/0.2-0-1-0.1/169",18
"170","data/0.2-0-1-0.1/170",36
"171","data/0.2-0-1-0.1/171",11
"172","data/0.2-0-1-0.1/172",24
"173","data/0.2-0-1-0.1/173",50
"174","data/0.2-0-1-0.1/174",43
"175","data/0.2-0-1-0.1/175",60
"176","data/0.2-0-1-0.1/176",4
"177","data/0.2-0-1-0.1/177",25
"178","data/0.2-0-1-0.1/178",41
"179","data/0.2-0-1-0.1/179",32
"180","data/0.2-0-1-0.1/180",28
"181","data/0.2-0-1-0.1/181",14
"182","data/0.2-0-1-0.1/182",24
"183","data/0.2-0-1-0.1/183",11
"184","data/0.2-0-1-0.1/184",16
"185","data/0.2-0-1-0.1/185",51
"186","data/0.2-0-1-0.1/186",32
"187","data/0.2-0-1-0.1/187",33
"188","data/0.2-0-1-0.1/188",9
"189","data/0.2-0-1-0.1/189",21
"190","data/0.2-0-1-0.1/190",54
"191","data/0.2-0-1-0.1/191",57
"192","data/0.2-0-1-0.1/192",3
"193","data/0.2-0-1-0.1/193",22
"194","data/0.2-0-1-0.1/194",50
"195","data/0.2-0-1-0.1/195",9
"196","data/0.2-0-1-0.1/196",45
"197","data/0.2-0-1-0.1/197",18
"198","data/0.2-0-1-0.1/198",23
"199","data/0.2-0-1-0.1/199",5
"200","data/0.2-0-1-0.1/200",32
"201","data/0.2-0-1-0.15/401",14
"202","data/0.2-0-1-0.15/402",22
"203","data/0.2-0-1-0.15/403",65
"204","data/0.2-0-1-0.15/404",69
"205","data/0.2-0-1-0.15/405",9
"206","data/0.2-0-1-0.15/406",97
"207","data/0.2-0-1-0.15/407",31
"208","data/0.2-0-1-0.15/408",7
"209","data/0.2-0-1-0.15/409",29
"210","data/0.2-0-1-0.15/410",21
"211","data/0.2-0-1-0.15/411",12
"212","data/0.2-0-1-0.15/412",56
"213","data/0.2-0-1-0.15/413",35
"214","data/0.2-0-1-0.15/414",43
"215","data/0.2-0-1-0.15/415",7
"216","data/0.2-0-1-0.15/416",17
"217","data/0.2-0-1-0.15/417",9
"218","data/0.2-0-1-0.15/418",20
"219","data/0.2-0-1-0.15/419",28
"220","data/0.2-0-1-0.15/420",39
"221","data/0.2-0-1-0.15/421",21
"222","data/0.2-0-1-0.15/422",24
"223","data/0.2-0-1-0.15/423",14
"224","data/0.2-0-1-0.15/424",31
"225","data/0.2-0-1-0.15/425",68
"226","data/0.2-0-1-0.15/426",29
"227","data/0.2-0-1-0.15/427",13
"228","data/0.2-0-1-0.15/428",48
"229","data/0.2-0-1-0.15/429",27
"230","data/0.2-0-1-0.15/430",18
"231","data/0.2-0-1-0.15/431",8
"232","data/0.2-0-1-0.15/432",55
"233","data/0.2-0-1-0.15/433",36
"234","data/0.2-0-1-0.15/434",143
"235","data/0.2-0-1-0.15/435",64
"236","data/0.2-0-1-0.15/436",38
"237","data/0.2-0-1-0.15/437",58
"238","data/0.2-0-1-0.15/438",26
"239","data/0.2-0-1-0.15/439",25
"240","data/0.2-0-1-0.15/440",43
"241","data/0.2-0-1-0.2/641",31
"242","data/0.2-0-1-0.2/642",104
"243","data/0.2-0-1-0.2/643",40
"244","data/0.2-0-1-0.2/644",37
"245","data/0.2-0-1-0.2/645",9
"246","data/0.2-0-1-0.2/646",9
"247","data/0.2-0-1-0.2/647",68
"248","data/0.2-0-1-0.2/648",16
"249","data/0.2-0-1-0.2/649",40
"250","data/0.2-0-1-0.2/650",53
"251","data/0.2-0-1-0.2/651",53
"252","data/0.2-0-1-0.2/652",14
"253","data/0.2-0-1-0.2/653",48
"254","data/0.2-0-1-0.2/654",34
"255","data/0.2-0-1-0.2/655",32
"256","data/0.2-0-1-0.2/656",47
"257","data/0.2-0-1-0.2/657",5
"258","data/0.2-0-1-0.2/658",32
"259","data/0.2-0-1-0.2/659",57
"260","data/0.2-0-1-0.2/660",156
"261","data/0.2-0-1-0.2/661",43
"262","data/0.2-0-1-0.2/662",14
"263","data/0.2-0-1-0.2/663",22
"264","data/0.2-0-1-0.2/664",71
"265","data/0.2-0-1-0.2/665",39
"266","data/0.2-0-1-0.2/666",53
"267","data/0.2-0-1-0.2/667",55
"268","data/0.2-0-1-0.2/668",15
"269","data/0.2-0-1-0.2/669",16
"270","data/0.2-0-1-0.2/670",31
"271","data/0.2-0-1-0.2/671",60
"272","data/0.2-0-1-0.2/672",14
"273","data/0.2-0-1-0.2/673",26
"274","data/0.2-0-1-0.2/674",31
"275","data/0.2-0-1-0.2/675",6
"276","data/0.2-0-1-0.2/676",62
"277","data/0.2-0-1-0.2/677",56
"278","data/0.2-0-1-0.2/678",23
"279","data/0.2-0-1-0.2/679",18
"280","data/0.2-0-1-0.2/680",26
"281","data/0.2-0-1.5-0.1/241",2
"282","data/0.2-0-1.5-0.1/242",70
"283","data/0.2-0-1.5-0.1/243",10
"284","data/0.2-0-1.5-0.1/244",9
"285","data/0.2-0-1.5-0.1/245",44
"286","data/0.2-0-1.5-0.1/246",11
"287","data/0.2-0-1.5-0.1/247",41
"288","data/0.2-0-1.5-0.1/248",38
"289","data/0.2-0-1.5-0.1/249",26
"290","data/0.2-0-1.5-0.1/250",43
"291","data/0.2-0-1.5-0.1/251",3
"292","data/0.2-0-1.5-0.1/252",10
"293","data/0.2-0-1.5-0.1/253",14
"294","data/0.2-0-1.5-0.1/254",92
"295","data/0.2-0-1.5-0.1/255",49
"296","data/0.2-0-1.5-0.1/256",14
"297","data/0.2-0-1.5-0.1/257",31
"298","data/0.2-0-1.5-0.1/258",49
"299","data/0.2-0-1.5-0.1/259",33
"300","data/0.2-0-1.5-0.1/260",23
"301","data/0.2-0-1.5-0.1/261",15
"302","data/0.2-0-1.5-0.1/262",31
"303","data/0.2-0-1.5-0.1/263",7
"304","data/0.2-0-1.5-0.1/264",37
"305","data/0.2-0-1.5-0.1/265",17
"306","data/0.2-0-1.5-0.1/266",26
"307","data/0.2-0-1.5-0.1/267",47
"308","data/0.2-0-1.5-0.1/268",33
"309","data/0.2-0-1.5-0.1/269",44
