"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-0-0/1","JC69","strict","birth_death","twin",-10063.3501788309,6.96828652814055,0.999354843092823,6.57446833292907
"2","data/0.2-0-0-0/1","JC69","strict","yule","twin",-10081.7600825181,7.23596564452184,1.01018319102327e-08,9.64798464896298
"3","data/0.2-0-0-0/1","HKY","strict","yule","twin",-12476.0417860754,0.852655362432327,0,5.33237534113237
"4","data/0.2-0-0-0/1","HKY","strict","birth_death","twin",-10070.6955661277,6.18397647728042,0.00064514680534552,9.91049202152911
"5","data/0.2-0-0-0/1","JC69","strict","birth_death","true",-9270.5238108441,5.13968871636758,0.999999928106646,5.90530787958153
"6","data/0.2-0-0-0/1","JC69","strict","yule","true",-9286.971892786,6.37636218633157,7.18933537582614e-08,8.22159526277014
"7","data/0.2-0-0-0/1","HKY","strict","yule","true",-12475.1963133303,1.0194198913146,0,5.43102664302016
"8","data/0.2-0-0-0/1","HKY","strict","birth_death","true",-9306.49403526106,7.32486383633502,2.38962631236607e-16,3.78503778975963
"9","data/0.2-0-0-0/10","JC69","strict","birth_death","twin",-13706.0766538648,8.15133144205083,0.999983291416216,8.23837411564691
"10","data/0.2-0-0-0/10","JC69","strict","yule","twin",-13717.076268488,7.78649422985697,1.67078593092971e-05,14.2517599927216
"11","data/0.2-0-0-0/10","HKY","strict","yule","twin",-13727.1579697129,7.93566229820877,6.99026434521154e-10,9.37631092040824
"12","data/0.2-0-0-0/10","HKY","strict","birth_death","twin",-13730.4710035417,8.39985734494867,2.54484472740322e-11,5.4254587423678
"13","data/0.2-0-0-0/10","JC69","strict","birth_death","true",-14647.4426507015,9.06348705115196,0.625726917483178,6.83005780667102
"14","data/0.2-0-0-0/10","JC69","strict","yule","true",-14647.9565796447,7.72093377526821,0.374272858181537,13.3221895631717
"15","data/0.2-0-0-0/10","HKY","strict","yule","true",-14666.3841401604,8.70140942146785,3.71706783472042e-09,9.85266316522858
"16","data/0.2-0-0-0/10","HKY","strict","birth_death","true",-14662.30064162,9.10407470194611,2.2061821669909e-07,6.48382514452705
"17","data/0.2-0-0-0/11","JC69","strict","birth_death","twin",-3664.79896134039,3.12213449900407,3.32098193894336e-11,2.97047369188733
"18","data/0.2-0-0-0/11","JC69","strict","yule","twin",-3662.62367308518,2.92774840585494,2.92403252754233e-10,3.89716900132655
"19","data/0.2-0-0-0/11","HKY","strict","yule","twin",-4158.61139587342,0.324184640223515,1.15146595221683e-225,4.31306257910595
"20","data/0.2-0-0-0/11","HKY","strict","birth_death","twin",-3640.67078582172,3.30713431651083,0.999999999674387,7.59804960372181
"21","data/0.2-0-0-0/11","JC69","strict","birth_death","true",-3960.13906730109,2.67802768583484,0.196924473533553,3.77895250719907
"22","data/0.2-0-0-0/11","JC69","strict","yule","true",-3960.27940553515,2.91079956587191,0.171140017644312,2.91669286067845
"23","data/0.2-0-0-0/11","HKY","strict","yule","true",-4157.99793647634,0.846576919547104,2.31891385103122e-87,6.03426454223397
"24","data/0.2-0-0-0/11","HKY","strict","birth_death","true",-3958.9731002273,3.0512197976002,0.631935508822135,5.44778840902834
"25","data/0.2-0-0-0/12","JC69","strict","birth_death","twin",-4178.32331250598,3.86205555998015,0.979256332811661,5.31910652843705
"26","data/0.2-0-0-0/12","JC69","strict","yule","twin",-4182.24008651168,4.2312063588754,0.0194922984022859,4.87377366656185
"27","data/0.2-0-0-0/12","HKY","strict","yule","twin",-5547.07143627628,1.06967006122079,0,7.37836494672965
"28","data/0.2-0-0-0/12","HKY","strict","birth_death","twin",-4184.98586796446,4.60970989463081,0.00125136878605308,4.69576790878512
"29","data/0.2-0-0-0/12","JC69","strict","birth_death","true",-4121.36183225574,3.74423449549991,0.999944820167767,4.48046167491585
"30","data/0.2-0-0-0/12","JC69","strict","yule","true",-4131.16675568456,4.48263920741012,5.51762136233547e-05,4.77271911059693
"31","data/0.2-0-0-0/12","HKY","strict","yule","true",-5547.42412060061,0.803838048175938,0,6.27072688557829
"32","data/0.2-0-0-0/12","HKY","strict","birth_death","true",-4140.79895307541,5.06604488213782,3.6186094996628e-09,5.91726728543571
"33","data/0.2-0-0-0/13","JC69","strict","birth_death","twin",-5869.1038618399,4.30140400527557,0.990227319232628,5.09073152673845
"34","data/0.2-0-0-0/13","JC69","strict","yule","twin",-5873.72220555599,5.12359218452477,0.00977268076736244,4.00019759393866
"35","data/0.2-0-0-0/13","HKY","strict","yule","twin",-5939.78714150574,6.74300849168602,1.98781783183857e-31,8.38498365293387
