"","folder","ess_likelihood","tree","best_or_gen"
"107","data/0.2-0-0-0/33",671,"twin","gen"
"108","data/0.2-0-0-0/33",901,"twin","best"
"109","data/0.2-0-0-0/34",901,"true","gen"
"110","data/0.2-0-0-0/34",901,"true","best"
"111","data/0.2-0-0-0/34",797,"twin","gen"
"112","data/0.2-0-0-0/34",631,"twin","best"
"113","data/0.2-0-0-0/35",901,"true","gen"
"114","data/0.2-0-0-0/35",883,"true","best"
"115","data/0.2-0-0-0/35",748,"twin","gen"
"116","data/0.2-0-0-0/35",732,"twin","best"
"117","data/0.2-0-0-0/36",901,"true","gen"
"118","data/0.2-0-0-0/36",901,"true","best"
"119","data/0.2-0-0-0/36",878,"twin","gen"
"120","data/0.2-0-0-0/36",746,"twin","best"
"121","data/0.2-0-0-0/37",901,"true","gen"
"122","data/0.2-0-0-0/37",901,"true","best"
"123","data/0.2-0-0-0/37",901,"twin","gen"
"124","data/0.2-0-0-0/37",855,"twin","best"
"125","data/0.2-0-0-0/38",866,"true","gen"
"126","data/0.2-0-0-0/38",710,"true","best"
"127","data/0.2-0-0-0/38",901,"twin","gen"
"128","data/0.2-0-0-0/38",718,"twin","best"
"129","data/0.2-0-0-0/39",901,"true","gen"
"130","data/0.2-0-0-0/39",901,"true","best"
"131","data/0.2-0-0-0/39",743,"twin","gen"
"132","data/0.2-0-0-0/39",693,"twin","best"
"133","data/0.2-0-0-0/4",901,"true","gen"
"134","data/0.2-0-0-0/4",442,"true","best"
"135","data/0.2-0-0-0/4",698,"twin","gen"
"136","data/0.2-0-0-0/4",797,"twin","best"
"137","data/0.2-0-0-0/40",727,"true","gen"
"138","data/0.2-0-0-0/40",901,"true","best"
"139","data/0.2-0-0-0/40",622,"twin","gen"
"140","data/0.2-0-0-0/40",901,"twin","best"
"141","data/0.2-0-0-0/5",813,"true","gen"
"142","data/0.2-0-0-0/5",830,"true","best"
"143","data/0.2-0-0-0/5",810,"twin","gen"
"144","data/0.2-0-0-0/5",901,"twin","best"
"145","data/0.2-0-0-0/6",804,"true","gen"
"146","data/0.2-0-0-0/6",822,"true","best"
"147","data/0.2-0-0-0/6",722,"twin","gen"
"148","data/0.2-0-0-0/6",681,"twin","best"
"149","data/0.2-0-0-0/7",815,"true","gen"
"150","data/0.2-0-0-0/7",766,"true","best"
"151","data/0.2-0-0-0/7",851,"twin","gen"
"152","data/0.2-0-0-0/7",901,"twin","best"
"153","data/0.2-0-0-0/8",766,"true","gen"
"154","data/0.2-0-0-0/8",654,"true","best"
"155","data/0.2-0-0-0/8",709,"twin","gen"
"156","data/0.2-0-0-0/8",833,"twin","best"
"157","data/0.2-0-0-0/9",780,"true","gen"
"158","data/0.2-0-0-0/9",895,"true","best"
"159","data/0.2-0-0-0/9",901,"twin","gen"
"160","data/0.2-0-0-0/9",644,"twin","best"
"161","data/0.2-0-0.5-0.1/100",901,"true","gen"
"162","data/0.2-0-0.5-0.1/100",901,"true","best"
"163","data/0.2-0-0.5-0.1/100",864,"twin","gen"
"164","data/0.2-0-0.5-0.1/100",542,"twin","best"
"165","data/0.2-0-0.5-0.1/101",36,"true","gen"
"166","data/0.2-0-0.5-0.1/101",901,"true","best"
"167","data/0.2-0-0.5-0.1/101",901,"twin","gen"
"168","data/0.2-0-0.5-0.1/101",803,"twin","best"
"169","data/0.2-0-0.5-0.1/102",901,"true","gen"
"170","data/0.2-0-0.5-0.1/102",837,"true","best"
"171","data/0.2-0-0.5-0.1/102",901,"twin","gen"
"172","data/0.2-0-0.5-0.1/102",821,"twin","best"
"173","data/0.2-0-0.5-0.1/103",901,"true","gen"
"174","data/0.2-0-0.5-0.1/103",2,"true","best"
"175","data/0.2-0-0.5-0.1/103",753,"twin","gen"
"176","data/0.2-0-0.5-0.1/103",2,"twin","best"
"177","data/0.2-0-0.5-0.1/104",8,"true","gen"
"178","data/0.2-0-0.5-0.1/104",839,"true","best"
"179","data/0.2-0-0.5-0.1/104",901,"twin","gen"
"180","data/0.2-0-0.5-0.1/104",716,"twin","best"
"181","data/0.2-0-0.5-0.1/105",881,"true","gen"
"182","data/0.2-0-0.5-0.1/105",811,"true","best"
"183","data/0.2-0-0.5-0.1/105",867,"twin","gen"
"184","data/0.2-0-0.5-0.1/105",765,"twin","best"
"185","data/0.2-0-0.5-0.1/106",869,"true","gen"
"186","data/0.2-0-0.5-0.1/106",901,"true","best"
"187","data/0.2-0-0.5-0.1/106",821,"twin","gen"
"188","data/0.2-0-0.5-0.1/106",901,"twin","best"
"189","data/0.2-0-0.5-0.1/107",901,"true","gen"
"190","data/0.2-0-0.5-0.1/107",885,"true","best"
"191","data/0.2-0-0.5-0.1/107",901,"twin","gen"
"192","data/0.2-0-0.5-0.1/107",901,"twin","best"
"193","data/0.2-0-0.5-0.1/108",831,"true","gen"
"194","data/0.2-0-0.5-0.1/108",794,"true","best"
"195","data/0.2-0-0.5-0.1/108",6,"twin","gen"
"196","data/0.2-0-0.5-0.1/108",901,"twin","best"
"197","data/0.2-0-0.5-0.1/109",855,"true","gen"
"198","data/0.2-0-0.5-0.1/109",762,"true","best"
"199","data/0.2-0-0.5-0.1/109",901,"twin","gen"
"200","data/0.2-0-0.5-0.1/109",690,"twin","best"
"201","data/0.2-0-0.5-0.1/110",25,"true","gen"
"202","data/0.2-0-0.5-0.1/110",750,"true","best"
"203","data/0.2-0-0.5-0.1/110",901,"twin","gen"
"204","data/0.2-0-0.5-0.1/110",722,"twin","best"
"205","data/0.2-0-0.5-0.1/111",901,"true","gen"
"206","data/0.2-0-0.5-0.1/111",797,"true","best"
"207","data/0.2-0-0.5-0.1/111",731,"twin","gen"
"208","data/0.2-0-0.5-0.1/111",901,"twin","best"
"209","data/0.2-0-0.5-0.1/112",901,"true","gen"
"210","data/0.2-0-0.5-0.1/112",872,"true","best"
"211","data/0.2-0-0.5-0.1/112",763,"twin","gen"
"212","data/0.2-0-0.5-0.1/112",846,"twin","best"
"213","data/0.2-0-0.5-0.1/113",7,"true","gen"
"214","data/0.2-0-0.5-0.1/113",840,"true","best"
"215","data/0.2-0-0.5-0.1/113",846,"twin","gen"
"216","data/0.2-0-0.5-0.1/113",762,"twin","best"
"217","data/0.2-0-0.5-0.1/114",900,"true","gen"
"218","data/0.2-0-0.5-0.1/114",856,"true","best"
"219","data/0.2-0-0.5-0.1/114",28,"twin","gen"
"220","data/0.2-0-0.5-0.1/114",891,"twin","best"
"221","data/0.2-0-0.5-0.1/115",901,"true","gen"
"222","data/0.2-0-0.5-0.1/115",901,"true","best"
"223","data/0.2-0-0.5-0.1/115",901,"twin","gen"
"224","data/0.2-0-0.5-0.1/115",885,"twin","best"
"225","data/0.2-0-0.5-0.1/116",840,"true","gen"
"226","data/0.2-0-0.5-0.1/116",855,"true","best"
"227","data/0.2-0-0.5-0.1/116",901,"twin","gen"
